Official_name,Old_name,SKY,NGVS_ra,NGVS_dec,x_g_gal,y_g_gal,Nuc_Flag,Index,Size,AxisRatio,PA,principleg_mag_cg
NGVSJ12:15:04.86+13:24:33.5,NGVSJ12:15:04.86+13:24:33.5,0.185,183.77025,13.409305599999998,148.685,150.058,1,276,44.667,0.743,-68.97,-100.0
NGVSJ12:33:14.02+11:46:53.6,NGVS12:33:14.004+11:46:53.42+0+0,0.105,188.3083966,11.7815539,148.8,157.05200000000005,0,277,20.957218771949808,0.95,-45.0,21.877
NGVSJ12:26:51.99+12:39:08.2,NGVS12:26:51.994+12:39:07.65-1+1,0.5379999999999999,186.7166382,12.6522711,148.81,150.035,1,278,37.10695256523908,0.95,-45.0,20.561
NGVSJ12:32:25.50+13:05:29.3,NGVS12:32:25.469+13:05:29.00+0+1,0.82,188.1062374,13.0914594,148.868,154.429,0,279,20.16042770548938,0.95,-45.0,21.177
NGVSJ12:28:55.65+12:25:42.3,NGVS12:28:55.639+12:25:42.22-1+0,1.6340000000000001,187.2318611,12.428427000000001,148.9,150.839,0,280,27.39572270031281,0.7047,3.61,21.338
NGVSJ12:31:47.45+12:58:14.4,NGVS12:31:47.395+12:58:13.58+0+1,0.695,187.94769519999997,12.970674,148.929,156.67,0,281,16.32085585976667,0.5194,40.92,22.014
NGVSJ12:27:33.11+11:31:43.3,NGVS12:27:33.096+11:31:43.58-1+0,0.08,186.8879733,11.5286815,148.954,155.403,0,282,20.090908927713485,0.7859,0.0,21.392
NGVSJ12:28:57.68+11:57:20.2,NGVS12:28:57.646+11:57:20.06-1+0,1.03,187.24033740000002,11.955601699999999,149.039,153.438,1,283,21.459893109326693,0.71070004,41.77,20.045
NGVSJ12:28:03.74+12:46:41.2,NGVS12:28:03.708+12:46:39.54-1+1,0.45,187.0155701,12.7781194,149.065,161.634,1,284,11.556149804018398,0.9022,-78.97,20.934
NGVSJ12:33:32.45+12:15:45.0,NGVS12:33:32.443+12:15:45.16+0+0,0.83,188.3852197,12.262504,149.08700000000005,150.65,0,285,27.278073968734326,0.95,-45.0,22.281
